FECHAELAB,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
2019-09-03 09:55:14,F29415,2019-09-03 00:00:00,2019-10-03,1550.0000000000002
2019-09-03 13:25:33,F29416,2019-09-03 00:00:00,2019-10-03,1550.0
2019-09-03 13:33:23,F29417,2019-09-03 00:00:00,2019-10-03,1550.0
2019-09-03 14:23:45,F29418,2019-09-03 00:00:00,2019-09-03,2435.44
2019-09-04 09:15:12,F29419,2019-09-04 00:00:00,2019-09-19,3979.9979999999996
2019-09-04 10:53:53,F29420,2019-09-04 00:00:00,2019-09-04,402.59
2019-09-04 10:56:44,F29421,2019-09-04 00:00:00,2019-09-04,402.59
2019-09-04 11:14:44,F29422,2019-09-02 00:00:00,2019-09-04,1606.74
2019-09-04 12:23:05,F29423,2019-09-02 00:00:00,2019-09-04,1144.4299999999998
2019-09-04 12:36:15,F29424,2019-09-03 00:00:00,2019-09-04,462.31
